"Host","HostClass","HostOrder","HostFamily","HostGenus","ZoonoticHost","PathogenRichness","ZoonoticPathogenRichness","Pathogens","ZoonoticPathogens","HostCriteria"
"tamias sonomae","mammalia","rodentia","sciuridae","tamias",TRUE,1,1,"anaplasma phagocytophilum","anaplasma phagocytophilum","Broad (serology, sequencing or isolation)"
"tamias speciosus","mammalia","rodentia","sciuridae","tamias",TRUE,1,1,"borrelia hermsii","borrelia hermsii","Broad (serology, sequencing or isolation)"
"tamias striatus","mammalia","rodentia","sciuridae","tamias",TRUE,7,7,"borreliella burgdorferi, yersinia intermedia, bunyamwera orthobunyavirus, california encephalitis orthobunyavirus, powassan virus, rabies lyssavirus, west nile virus","borreliella burgdorferi, yersinia intermedia, bunyamwera orthobunyavirus, california encephalitis orthobunyavirus, powassan virus, rabies lyssavirus, west nile virus","Broad (serology, sequencing or isolation)"
"tamias umbrinus","mammalia","rodentia","sciuridae","tamias",TRUE,1,1,"colorado tick fever coltivirus","colorado tick fever coltivirus","Broad (serology, sequencing or isolation)"
"tamiasciurus douglasii","mammalia","rodentia","sciuridae","tamiasciurus",TRUE,1,1,"borrelia hermsii","borrelia hermsii","Broad (serology, sequencing or isolation)"
"tamiasciurus hudsonicus","mammalia","rodentia","sciuridae","tamiasciurus",TRUE,9,7,"bartonella washoeensis, borrelia hermsii, cardiovirus a, colorado tick fever coltivirus, modoc virus, powassan virus, rotavirus a, squirrel fibroma virus, west nile virus","bartonella washoeensis, borrelia hermsii, cardiovirus a, colorado tick fever coltivirus, powassan virus, rotavirus a, west nile virus","Broad (serology, sequencing or isolation)"
"tamiops swinhoei","mammalia","rodentia","sciuridae","tamiops",TRUE,1,1,"mammalian 2 orthobornavirus","mammalian 2 orthobornavirus","Broad (serology, sequencing or isolation)"
"tandanus tandanus","actinopteri","siluriformes","plotosidae","tandanus",FALSE,1,0,"balanotaenia bancrofti","","Broad (serology, sequencing or isolation)"
"tangara arthus","aves","passeriformes","thraupidae","tangara",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"tanygnathus lucionensis","aves","psittaciformes","psittacidae","tanygnathus",FALSE,1,0,"psittaciform 1 orthobornavirus","","Broad (serology, sequencing or isolation)"
"taphozous longimanus","mammalia","chiroptera","emballonuridae","taphozous",FALSE,2,0,"paramyxovirus predict_pmv-109, paramyxovirus predict_pmv-22","","Broad (serology, sequencing or isolation)"
"taphozous mauritianus","mammalia","chiroptera","emballonuridae","taphozous",FALSE,1,0,"paramyxovirus predict_pmv-59","","Broad (serology, sequencing or isolation)"
"taphozous melanopogon","mammalia","chiroptera","emballonuridae","taphozous",TRUE,19,4,"australian bat lyssavirus, japanese encephalitis virus, laibin mobatvirus, mamastrovirus 12, mamastrovirus 15, mamastrovirus 19, mammalian orthoreovirus, paramyxovirus predict_pmv-49, predict_mastv-23, predict_mastv-61, predict_mastv-62, predict_mastv-63, predict_mastv-64, predict_mastv-71, predict_mastv-77, predict_mastv-78, predict_pmv-49, predict_pmv-90, rotavirus a","australian bat lyssavirus, japanese encephalitis virus, mammalian orthoreovirus, rotavirus a","Broad (serology, sequencing or isolation)"
"taphozous perforatus","mammalia","chiroptera","emballonuridae","taphozous",TRUE,4,3,"dakar bat virus, influenza a virus, kaeng khoi orthobunyavirus, rotavirus a","dakar bat virus, influenza a virus, rotavirus a","Broad (serology, sequencing or isolation)"
"taphozous theobaldi","mammalia","chiroptera","emballonuridae","taphozous",TRUE,2,1,"australian bat lyssavirus, kaeng khoi orthobunyavirus","australian bat lyssavirus","Broad (serology, sequencing or isolation)"
"tapirus bairdii","mammalia","perissodactyla","tapiridae","tapirus",TRUE,1,1,"escherichia coli","escherichia coli","Broad (serology, sequencing or isolation)"
"tapirus indicus","mammalia","perissodactyla","tapiridae","tapirus",TRUE,1,1,"mycobacterium tuberculosis","mycobacterium tuberculosis","Broad (serology, sequencing or isolation)"
"tapirus terrestris","mammalia","perissodactyla","tapiridae","tapirus",TRUE,4,4,"escherichia coli, mycobacterium tuberculosis, cardiovirus a, cowpox virus","escherichia coli, mycobacterium tuberculosis, cardiovirus a, cowpox virus","Broad (serology, sequencing or isolation)"
"taractes rubescens","actinopteri","scombriformes","bramidae","taractes",FALSE,2,0,"hepatoxylon trichiuri, heterosphyriocephalus oheolumiae","","Broad (serology, sequencing or isolation)"
"taractichthys steindachneri","actinopteri","scombriformes","bramidae","taractichthys",FALSE,1,0,"heterosphyriocephalus oheolumiae","","Broad (serology, sequencing or isolation)"
"tarsiger cyanurus","aves","passeriformes","turdidae","tarsiger",FALSE,2,0,"avian leukosis virus, reticuloendotheliosis virus","","Broad (serology, sequencing or isolation)"
"tatera indica","mammalia","rodentia","muridae","tatera",TRUE,11,7,"bakau orthobunyavirus, cardiovirus a, crimean-congo hemorrhagic fever orthonairovirus, dera ghazi khan orthonairovirus, dhori thogotovirus, isfahan vesiculovirus, kyasanur forest disease virus, royal farm virus, salehabad phlebovirus, wad medani virus, west nile virus","cardiovirus a, crimean-congo hemorrhagic fever orthonairovirus, dhori thogotovirus, isfahan vesiculovirus, kyasanur forest disease virus, salehabad phlebovirus, west nile virus","Broad (serology, sequencing or isolation)"
"tauraco erythrolophus","aves","musophagiformes","musophagidae","tauraco",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"taxidea taxus","mammalia","carnivora","mustelidae","taxidea",TRUE,7,6,"coxiella burnetii, francisella tularensis, mycobacterium tuberculosis, yersinia pestis, filaria taxideae, toxoplasma gondii, canine morbillivirus","coxiella burnetii, francisella tularensis, mycobacterium tuberculosis, yersinia pestis, toxoplasma gondii, canine morbillivirus","Broad (serology, sequencing or isolation)"
"tayassu pecari","mammalia","artiodactyla","tayassuidae","tayassu",TRUE,2,2,"clostridium perfringens, leptospira interrogans","clostridium perfringens, leptospira interrogans","Broad (serology, sequencing or isolation)"
"tephrodornis virgatus","aves","passeriformes","prionopidae","tephrodornis",TRUE,1,1,"kyasanur forest disease virus","kyasanur forest disease virus","Broad (serology, sequencing or isolation)"
"terapon jarbua","actinopteri","centrarchiformes","terapontidae","terapon",TRUE,4,1,"nocardia seriolae, protogyrodactylus amacleithrium, protogyrodactylus johnstonettiegsi, infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"terathopius ecaudatus","aves","accipitriformes","accipitridae","terathopius",TRUE,2,2,"chlamydia psittaci, pasteurella multocida","chlamydia psittaci, pasteurella multocida","Broad (serology, sequencing or isolation)"
"teratohyla spinosa","amphibia","anura","centrolenidae","teratohyla",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"teratoscincus scincus","lepidosauria","squamata","sphaerodactylidae","teratoscincus",FALSE,2,0,"haemoproteus kopki, monocercomonas colubrorum","","Broad (serology, sequencing or isolation)"
"terpsiphone viridis","aves","passeriformes","monarchidae","terpsiphone",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"terrapene carolina",NA,"testudines","emydidae","terrapene",TRUE,4,3,"borreliella burgdorferi, campylobacter fetus, morganella morganii, frog virus 3","borreliella burgdorferi, campylobacter fetus, morganella morganii","Broad (serology, sequencing or isolation)"
"terricola subterraneus","mammalia","rodentia","cricetidae","terricola",TRUE,4,4,"francisella tularensis, yersinia enterocolitica, great island virus, tula orthohantavirus","francisella tularensis, yersinia enterocolitica, great island virus, tula orthohantavirus","Broad (serology, sequencing or isolation)"
"testudo graeca",NA,"testudines","testudinidae","testudo",TRUE,9,2,"borrelia turcica, chlamydia psittaci, mycoplasma testudinis, tetratrichomonas brumpti, chelonid alphaherpesvirus 6, crimean-congo hemorrhagic fever orthonairovirus, reptilian orthoreovirus, testudinid alphaherpesvirus 3, torchivirus a","chlamydia psittaci, crimean-congo hemorrhagic fever orthonairovirus","Broad (serology, sequencing or isolation)"
"testudo hermanni",NA,"testudines","testudinidae","testudo",TRUE,9,1,"chelonobacter oris, salmonella enterica, angusticaecum holopterum, tetratrichomonas brumpti, chelonid alphaherpesvirus 6, common midwife toad virus, frog virus 3, testudinid alphaherpesvirus 3, torchivirus a","salmonella enterica","Broad (serology, sequencing or isolation)"
"testudo horsfieldii",NA,"testudines","testudinidae","testudo",TRUE,6,1,"borrelia turcica, tetratrichomonas brumpti, chelonid alphaherpesvirus 6, crimean-congo hemorrhagic fever orthonairovirus, testudinid alphaherpesvirus 3, torchivirus a","crimean-congo hemorrhagic fever orthonairovirus","Broad (serology, sequencing or isolation)"
"testudo kleinmanni",NA,"testudines","testudinidae","testudo",FALSE,2,0,"austwickia chelonae, common midwife toad virus","","Broad (serology, sequencing or isolation)"
"testudo marginata",NA,"testudines","testudinidae","testudo",FALSE,2,0,"tetratrichomonas brumpti, torchivirus a","","Broad (serology, sequencing or isolation)"
"tetracerus quadricornis","mammalia","artiodactyla","bovidae","tetracerus",TRUE,1,1,"small ruminant morbillivirus","small ruminant morbillivirus","Broad (serology, sequencing or isolation)"
"tetractenos hamiltoni","actinopteri","tetraodontiformes","tetraodontidae","tetractenos",FALSE,1,0,"opistholebes amplicoelus","","Broad (serology, sequencing or isolation)"
"tetrao urogallus","aves","galliformes","phasianidae","tetrao",TRUE,6,5,"chlamydia psittaci, clostridium perfringens, francisella tularensis, listeria monocytogenes, cryptosporidium galli, sindbis virus","chlamydia psittaci, clostridium perfringens, francisella tularensis, listeria monocytogenes, sindbis virus","Broad (serology, sequencing or isolation)"
"tetrastes bonasia","aves","galliformes","phasianidae","tetrastes",TRUE,5,5,"escherichia coli, avian orthoavulavirus 1, california encephalitis orthobunyavirus, sindbis virus, tick-borne encephalitis virus","escherichia coli, avian orthoavulavirus 1, california encephalitis orthobunyavirus, sindbis virus, tick-borne encephalitis virus","Broad (serology, sequencing or isolation)"
"tetrax tetrax","aves","gruiformes","otididae","tetrax",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"thalassarche chrysostoma","aves","procellariiformes","diomedeidae","thalassarche",FALSE,1,0,"campylobacter subantarcticus","","Broad (serology, sequencing or isolation)"
"thalassarche melanophris","aves","procellariiformes","diomedeidae","thalassarche",FALSE,1,0,"campylobacter subantarcticus","","Broad (serology, sequencing or isolation)"
"thalasseus elegans","aves","charadriiformes","laridae","thalasseus",TRUE,1,1,"influenza a virus","influenza a virus","Broad (serology, sequencing or isolation)"
"thalasseus sandvicensis","aves","charadriiformes","laridae","thalasseus",TRUE,1,1,"influenza a virus","influenza a virus","Broad (serology, sequencing or isolation)"
"thalassoma lunare","actinopteri","labriformes","labridae","thalassoma",FALSE,1,0,"deretrema nahaense","","Broad (serology, sequencing or isolation)"
"thaleichthys pacificus","actinopteri","osmeriformes","osmeridae","thaleichthys",FALSE,1,0,"piscine novirhabdovirus","","Broad (serology, sequencing or isolation)"
"thallomys nigricauda","mammalia","rodentia","muridae","thallomys",TRUE,1,1,"west nile virus","west nile virus","Broad (serology, sequencing or isolation)"
"thamnaconus modestus","actinopteri","tetraodontiformes","monacanthidae","thamnaconus",FALSE,1,0,"redspotted grouper nervous necrosis virus","","Broad (serology, sequencing or isolation)"
"thamnaconus septentrionalis","actinopteri","tetraodontiformes","monacanthidae","thamnaconus",FALSE,1,0,"huangjiao thamnovirus","","Broad (serology, sequencing or isolation)"
"thamnophilus amazonicus","aves","passeriformes","thamnophilidae","thamnophilus",TRUE,1,1,"turlock orthobunyavirus","turlock orthobunyavirus","Broad (serology, sequencing or isolation)"
"thamnophis radix","lepidosauria","squamata","colubridae","thamnophis",TRUE,1,1,"western equine encephalitis virus","western equine encephalitis virus","Broad (serology, sequencing or isolation)"
"thamnophis sirtalis","lepidosauria","squamata","colubridae","thamnophis",TRUE,2,2,"yersinia enterocolitica, western equine encephalitis virus","yersinia enterocolitica, western equine encephalitis virus","Broad (serology, sequencing or isolation)"
"thaptomys nigrita","mammalia","rodentia","cricetidae","thaptomys",TRUE,1,1,"andes orthohantavirus","andes orthohantavirus","Broad (serology, sequencing or isolation)"
"thectocercus acuticaudatus","aves","psittaciformes","psittacidae","thectocercus",TRUE,2,1,"chlamydia psittaci, aves polyomavirus 1","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"theropithecus gelada","mammalia","primates","cercopithecidae","theropithecus",TRUE,3,3,"taenia serialis, primate t-lymphotropic virus 1, primate t-lymphotropic virus 3","taenia serialis, primate t-lymphotropic virus 1, primate t-lymphotropic virus 3","Broad (serology, sequencing or isolation)"
"thinornis novaeseelandiae","aves","charadriiformes","charadriidae","thinornis",FALSE,2,0,"canarypox virus, fowlpox virus","","Broad (serology, sequencing or isolation)"
"thomomys talpoides","mammalia","rodentia","geomyidae","thomomys",TRUE,1,1,"saint louis encephalitis virus","saint louis encephalitis virus","Broad (serology, sequencing or isolation)"
"thoopterus nigrescens","mammalia","chiroptera","pteropodidae","thoopterus",FALSE,2,0,"paramyxovirus predict_pmv-122, predict_pmv-122","","Broad (serology, sequencing or isolation)"
"threskiornis aethiopicus","aves","pelecaniformes","threskiornithidae","threskiornis",TRUE,4,3,"avian orthoavulavirus 1, influenza a virus, murray valley encephalitis virus, pigeon circovirus","avian orthoavulavirus 1, influenza a virus, murray valley encephalitis virus","Broad (serology, sequencing or isolation)"
"threskiornis molucca","aves","pelecaniformes","threskiornithidae","threskiornis",FALSE,1,0,"beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"thryomanes bewickii","aves","passeriformes","certhiidae","thryomanes",TRUE,2,2,"borreliella burgdorferi, influenza a virus","borreliella burgdorferi, influenza a virus","Broad (serology, sequencing or isolation)"
"thryonomys swinderianus","mammalia","rodentia","thryonomyidae","thryonomys",TRUE,3,1,"adenovirus predict_adv-17, lebombo virus, polyomavirus predict_pyv-30","lebombo virus","Broad (serology, sequencing or isolation)"
"thryothorus ludovicianus","aves","passeriformes","certhiidae","thryothorus",TRUE,3,3,"borreliella americana, eastern equine encephalitis virus, saint louis encephalitis virus","borreliella americana, eastern equine encephalitis virus, saint louis encephalitis virus","Broad (serology, sequencing or isolation)"
"thryssa mystax","actinopteri","clupeiformes","engraulidae","thryssa",TRUE,1,1,"infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"thunnus albacares","actinopteri","scombriformes","scombridae","thunnus",FALSE,2,0,"hexostoma thynni, nasicola klawei","","Broad (serology, sequencing or isolation)"
"thunnus maccoyii","actinopteri","scombriformes","scombridae","thunnus",FALSE,15,0,"arenibacter latericius, idiomarina loihiensis, joostella marina, pseudidiomarina homiensis, pseudoalteromonas ruthenica, tenacibaculum aiptasiae, tenacibaculum discolor, tenacibaculum gallaicum, tenacibaculum mesophilum, tenacibaculum soleae, winogradskyella eximia, winogradskyella thalassocola, cardicola forsteri, cardicola orientalis, hexostoma thynni","","Broad (serology, sequencing or isolation)"
"thunnus orientalis","actinopteri","scombriformes","scombridae","thunnus",TRUE,1,1,"infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"thunnus thynnus","actinopteri","scombriformes","scombridae","thunnus",TRUE,4,1,"capsala onchidiocotyle, cardicola forsteri, hexostoma thynni, infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"thylogale billardierii","mammalia","diprotodontia","macropodidae","thylogale",TRUE,1,1,"ross river virus","ross river virus","Broad (serology, sequencing or isolation)"
"thylogale stigmatica","mammalia","diprotodontia","macropodidae","thylogale",FALSE,1,0,"monilonema lacunosa","","Broad (serology, sequencing or isolation)"
"thymallus arcticus","actinopteri","salmoniformes","salmonidae","thymallus",FALSE,1,0,"spironucleus barkhanus","","Broad (serology, sequencing or isolation)"
"thymallus thymallus","actinopteri","salmoniformes","salmonidae","thymallus",TRUE,10,1,"aeromonas salmonicida, flavobacterium psychrophilum, renibacterium salmoninarum, gyrodactylus salaris, spironucleus barkhanus, hirame novirhabdovirus, infectious pancreatic necrosis virus, perch perhabdovirus, piscine novirhabdovirus, salmonid novirhabdovirus","aeromonas salmonicida","Broad (serology, sequencing or isolation)"
"thyroptera tricolor","mammalia","chiroptera","thyropteridae","thyroptera",TRUE,1,1,"trypanosoma cruzi","trypanosoma cruzi","Broad (serology, sequencing or isolation)"
"thyrsites atun","actinopteri","scombriformes","gempylidae","thyrsites",FALSE,1,0,"molicola thyristes","","Broad (serology, sequencing or isolation)"
"tiliqua nigrolutea","lepidosauria","squamata","scincidae","tiliqua",TRUE,2,2,"campylobacter fetus, salmonella enterica","campylobacter fetus, salmonella enterica","Broad (serology, sequencing or isolation)"
"tiliqua rugosa","lepidosauria","squamata","scincidae","tiliqua",TRUE,2,1,"salmonella enterica, shingleback nidovirus 1","salmonella enterica","Broad (serology, sequencing or isolation)"
"tiliqua scincoides","lepidosauria","squamata","scincidae","tiliqua",TRUE,1,1,"salmonella enterica","salmonella enterica","Broad (serology, sequencing or isolation)"
"tinca tinca","actinopteri","cypriniformes","tincidae","tinca",TRUE,7,2,"aeromonas salmonicida, deefgea chitinilytica, flavobacterium psychrophilum, mycolicibacterium peregrinum, carp sprivivirus, cyprinid herpesvirus 3, pike fry sprivivirus","aeromonas salmonicida, mycolicibacterium peregrinum","Broad (serology, sequencing or isolation)"
"todiramphus cinnamominus","aves","coraciiformes","alcedinidae","todiramphus",TRUE,2,2,"mycobacterium avium, mycobacterium simiae","mycobacterium avium, mycobacterium simiae","Broad (serology, sequencing or isolation)"
"tolmomyias poliocephalus","aves","passeriformes","tyrannidae","tolmomyias",FALSE,1,0,"cabassou virus","","Broad (serology, sequencing or isolation)"
"tolypeutes matacus","mammalia","cingulata","chlamyphoridae","tolypeutes",TRUE,2,2,"eastern equine encephalitis virus, saint louis encephalitis virus","eastern equine encephalitis virus, saint louis encephalitis virus","Broad (serology, sequencing or isolation)"
"tonatia bidens","mammalia","chiroptera","phyllostomidae","tonatia",TRUE,2,1,"trypanosoma cruzi, tacaribe mammarenavirus","trypanosoma cruzi","Broad (serology, sequencing or isolation)"
"toxostoma redivivum","aves","passeriformes","mimidae","toxostoma",TRUE,1,1,"coxiella burnetii","coxiella burnetii","Broad (serology, sequencing or isolation)"
"toxostoma rufum","aves","passeriformes","mimidae","toxostoma",TRUE,3,2,"rickettsia rickettsii, highlands j virus, west nile virus","rickettsia rickettsii, west nile virus","Broad (serology, sequencing or isolation)"
"trachemys dorbigni",NA,"testudines","emydidae","trachemys",FALSE,1,0,"polystomoides coronatum","","Broad (serology, sequencing or isolation)"
"trachemys scripta",NA,"testudines","emydidae","trachemys",TRUE,5,2,"burkholderia anthina, macrovestibulum obtusicaudum, neoechinorhynchus schmidti, spirorchis scripta, eastern equine encephalitis virus","burkholderia anthina, eastern equine encephalitis virus","Broad (serology, sequencing or isolation)"
"trachinotus blochii","actinopteri","carangiformes","carangidae","trachinotus",TRUE,6,2,"nocardia seriolae, streptococcus dysgalactiae, vibrio alginolyticus, lobatostoma manteri, neolepocreadium caballeroi, redspotted grouper nervous necrosis virus","streptococcus dysgalactiae, vibrio alginolyticus","Broad (serology, sequencing or isolation)"
"trachinotus carolinus","actinopteri","carangiformes","carangidae","trachinotus",TRUE,1,1,"infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"trachinotus coppingeri","actinopteri","carangiformes","carangidae","trachinotus",FALSE,1,0,"clavogalea trachinoti","","Broad (serology, sequencing or isolation)"
"trachinotus ovatus","actinopteri","carangiformes","carangidae","trachinotus",TRUE,5,3,"photobacterium damselae, streptococcus dysgalactiae, vibrio vulnificus, pyragraphorus hollisae, redspotted grouper nervous necrosis virus","photobacterium damselae, streptococcus dysgalactiae, vibrio vulnificus","Broad (serology, sequencing or isolation)"
"trachipterus trachypterus","actinopteri","lampriformes","trachipteridae","trachipterus",TRUE,1,1,"escherichia coli","escherichia coli","Broad (serology, sequencing or isolation)"
"trachops cirrhosus","mammalia","chiroptera","phyllostomidae","trachops",TRUE,2,1,"pegivirus b, tonate virus","tonate virus","Broad (serology, sequencing or isolation)"
"trachurus japonicus","actinopteri","carangiformes","carangidae","trachurus",TRUE,5,1,"shewanella pneumatophori, streptococcus agalactiae, infectious pancreatic necrosis virus, redspotted grouper nervous necrosis virus, striped jack nervous necrosis virus","streptococcus agalactiae","Broad (serology, sequencing or isolation)"
"trachurus mediterraneus","actinopteri","carangiformes","carangidae","trachurus",FALSE,5,0,"cemocotyle trachuri, gastrocotyle trachuri, pseudaxine trachuri, redspotted grouper nervous necrosis virus, striped jack nervous necrosis virus","","Broad (serology, sequencing or isolation)"
"trachurus murphyi","actinopteri","carangiformes","carangidae","trachurus",FALSE,1,0,"copiatestes filiferus","","Broad (serology, sequencing or isolation)"
"trachurus trachurus","actinopteri","carangiformes","carangidae","trachurus",FALSE,6,0,"ancylocoelium typicum, gastrocotyle trachuri, hysterothylacium aduncum, pseudaxine trachuri, tergestia laticollis, piscine novirhabdovirus","","Broad (serology, sequencing or isolation)"
"trachycephalus venulosus","amphibia","anura","hylidae","trachycephalus",FALSE,1,0,"polystoma lopezromani","","Broad (serology, sequencing or isolation)"
"trachypithecus auratus","mammalia","primates","cercopithecidae","trachypithecus",TRUE,1,1,"giardia intestinalis","giardia intestinalis","Broad (serology, sequencing or isolation)"
"trachypithecus cristatus","mammalia","primates","cercopithecidae","trachypithecus",TRUE,20,11,"escherichia coli, mycoplasma pneumoniae, breinlia sp., brugia malayi, brugia pahangi, brugia sp., dirofilaria sp., strongyloides fuelleborni, trichuris trichiura, wuchereria kalimantani, entamoeba coli, entamoeba histolytica, plasmodium coatneyi, plasmodium sp., bakau orthobunyavirus, cercopithecine alphaherpesvirus 9, measles morbillivirus, monkeypox virus, primate t-lymphotropic virus 1, vesicular exanthema of swine virus","escherichia coli, mycoplasma pneumoniae, brugia malayi, strongyloides fuelleborni, trichuris trichiura, entamoeba coli, entamoeba histolytica, measles morbillivirus, monkeypox virus, primate t-lymphotropic virus 1, vesicular exanthema of swine virus","Broad (serology, sequencing or isolation)"
"trachypithecus francoisi","mammalia","primates","cercopithecidae","trachypithecus",TRUE,1,1,"kyasanur forest disease virus","kyasanur forest disease virus","Broad (serology, sequencing or isolation)"
"trachypithecus obscurus","mammalia","primates","cercopithecidae","trachypithecus",TRUE,5,3,"brugia malayi, plasmodium sp., dengue virus, hepatovirus a, langur virus","brugia malayi, dengue virus, hepatovirus a","Broad (serology, sequencing or isolation)"
"trachypithecus phayrei","mammalia","primates","cercopithecidae","trachypithecus",TRUE,1,1,"hepatovirus a","hepatovirus a","Broad (serology, sequencing or isolation)"
"trachypithecus pileatus","mammalia","primates","cercopithecidae","trachypithecus",FALSE,1,0,"enterovirus f","","Broad (serology, sequencing or isolation)"
"trachypithecus vetulus","mammalia","primates","cercopithecidae","trachypithecus",TRUE,3,3,"escherichia coli, cryptosporidium parvum, entamoeba histolytica","escherichia coli, cryptosporidium parvum, entamoeba histolytica","Broad (serology, sequencing or isolation)"
"trachyrincus scabrus","actinopteri","gadiformes","macrouridae","trachyrincus",FALSE,2,0,"anisakis pegreffii, anisakis simplex","","Broad (serology, sequencing or isolation)"
"tragelaphus angasii","mammalia","artiodactyla","bovidae","tragelaphus",TRUE,10,6,"leptospira interrogans, toxoplasma gondii, trypanosoma vivax, akabane orthobunyavirus, betacoronavirus 1, bluetongue virus, bovine alphaherpesvirus 1, crimean-congo hemorrhagic fever orthonairovirus, pestivirus a, rotavirus a","leptospira interrogans, toxoplasma gondii, betacoronavirus 1, crimean-congo hemorrhagic fever orthonairovirus, pestivirus a, rotavirus a","Broad (serology, sequencing or isolation)"
"tragelaphus eurycerus","mammalia","artiodactyla","bovidae","tragelaphus",TRUE,3,2,"mycobacterium tuberculosis, bluetongue virus, pestivirus a","mycobacterium tuberculosis, pestivirus a","Broad (serology, sequencing or isolation)"
"tragelaphus imberbis","mammalia","artiodactyla","bovidae","tragelaphus",TRUE,4,2,"coxiella burnetii, bluetongue virus, foot-and-mouth disease virus, rinderpest morbillivirus","coxiella burnetii, foot-and-mouth disease virus","Broad (serology, sequencing or isolation)"
"tragelaphus oryx","mammalia","artiodactyla","bovidae","tragelaphus",TRUE,14,6,"anaplasma marginale, brucella sp., leptospira interrogans, toxoplasma gondii, akabane orthobunyavirus, bluetongue virus, bovine alphaherpesvirus 1, bovine fever ephemerovirus, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, lumpy skin disease virus, pestivirus a, rabies lyssavirus, rinderpest morbillivirus","leptospira interrogans, toxoplasma gondii, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, pestivirus a, rabies lyssavirus","Broad (serology, sequencing or isolation)"
"tragelaphus scriptus","mammalia","artiodactyla","bovidae","tragelaphus",TRUE,10,4,"mycobacterium tuberculosis, eimeria sp., toxoplasma gondii, akabane orthobunyavirus, bluetongue virus, bovine alphaherpesvirus 1, bovine fever ephemerovirus, foot-and-mouth disease virus, pestivirus a, rinderpest morbillivirus","mycobacterium tuberculosis, toxoplasma gondii, foot-and-mouth disease virus, pestivirus a","Broad (serology, sequencing or isolation)"
"tragelaphus spekii","mammalia","artiodactyla","bovidae","tragelaphus",TRUE,9,4,"ehrlichia ruminantium, trypanosoma brucei, trypanosoma theileri, trypanosoma vivax, alcelaphine gammaherpesvirus 1, betacoronavirus 1, bluetongue virus, ovine gammaherpesvirus 2, rotavirus a","ehrlichia ruminantium, trypanosoma brucei, betacoronavirus 1, rotavirus a","Broad (serology, sequencing or isolation)"
"tragelaphus strepsiceros","mammalia","artiodactyla","bovidae","tragelaphus",TRUE,28,12,"bacillus anthracis, coxiella burnetii, mycobacterium avium, mycobacterium tuberculosis, rhodococcus hoagii, cooperia fuelleborni, moniezia benedeni, moniezia expansa, schistosoma mattheei, strongyloides papillosus, thysaniezia giardi, toxoplasma gondii, akabane orthobunyavirus, alcelaphine gammaherpesvirus 1, bluetongue virus, bovine alphaherpesvirus 1, bovine fever ephemerovirus, bovine respirovirus 3, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, lumpy skin disease virus, lymphocystis disease virus 1, ovine gammaherpesvirus 2, pestivirus a, rabies lyssavirus, rift valley fever phlebovirus, rinderpest morbillivirus, rotavirus a","bacillus anthracis, coxiella burnetii, mycobacterium avium, mycobacterium tuberculosis, rhodococcus hoagii, toxoplasma gondii, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, pestivirus a, rabies lyssavirus, rift valley fever phlebovirus, rotavirus a","Broad (serology, sequencing or isolation)"
"tragopan caboti","aves","galliformes","phasianidae","tragopan",TRUE,2,1,"mycobacterium avium, reticuloendotheliosis virus","mycobacterium avium","Broad (serology, sequencing or isolation)"
"tragulus javanicus","mammalia","artiodactyla","tragulidae","tragulus",TRUE,2,2,"pestivirus a, rotavirus a","pestivirus a, rotavirus a","Broad (serology, sequencing or isolation)"
"transandinomys bolivaris","mammalia","rodentia","cricetidae","transandinomys",TRUE,1,1,"venezuelan equine encephalitis virus","venezuelan equine encephalitis virus","Broad (serology, sequencing or isolation)"
"tremarctos ornatus","mammalia","carnivora","ursidae","tremarctos",TRUE,2,2,"pythium insidiosum, canine morbillivirus","pythium insidiosum, canine morbillivirus","Broad (serology, sequencing or isolation)"
"trematomus bernacchii","actinopteri","perciformes","nototheniidae","trematomus",FALSE,1,0,"trematomus bernacchii polyomavirus 1","","Broad (serology, sequencing or isolation)"
"trematomus pennellii","actinopteri","perciformes","nototheniidae","trematomus",FALSE,1,0,"trematomus pennellii polyomavirus 1","","Broad (serology, sequencing or isolation)"
"treron pompadora","aves","columbiformes","columbidae","treron",TRUE,1,1,"kyasanur forest disease virus","kyasanur forest disease virus","Broad (serology, sequencing or isolation)"
